id,order_hour,day_of_week,restaurant_type,cuisine_type,distance_km,estimated_delivery_min,order_value_inr,num_items,is_peak_hour,weather_condition,traffic_density,delivery_partner_rating,delivery_partner_orders,restaurant_rating,restaurant_avg_prep_min,is_promo_order,area_type,is_late
1,6,sunday,cafe,south_indian,10.7,55,1208.0,8,true,humid,moderate,3.6,3393.0,4.3,23.5,false,commercial,on_time
2,19,friday,casual_dining,dessert,1.1,78,172.0,12,true,light_rain,gridlock,2.5,2331.0,4.7,23.8,true,college_area,late
3,14,sunday,fine_dining,dessert,13.6,14,2314.0,2,true,clear,moderate,4.1,3393.0,3.1,23.0,false,college_area,late
4,10,monday,cloud_kitchen,south_indian,7.5,70,2754.0,2,true,clear,gridlock,4.6,2618.0,3.8,26.0,false,residential,late
5,7,thursday,fine_dining,chinese,7.2,47,789.0,9,true,light_rain,heavy,3.9,4121.0,4.4,28.9,false,residential,on_time
6,20,wednesday,casual_dining,south_indian,8.7,37,1344.0,5,true,clear,heavy,2.2,4356.0,3.4,11.0,false,market,on_time
7,6,saturday,fast_food,dessert,8.0,35,453.0,5,false,fog,heavy,4.6,2545.0,4.1,19.8,true,market,on_time
8,18,sunday,fast_food,chinese,7.3,70,1424.0,1,false,fog,heavy,4.1,1928.0,3.7,27.2,false,commercial,on_time
9,22,wednesday,cloud_kitchen,biryani,12.6,32,486.0,13,true,humid,low,4.2,2545.0,4.4,19.3,false,residential,on_time
10,10,saturday,fast_food,dessert,0.7,55,1617.0,6,false,clear,low,3.7,4548.0,2.9,31.6,false,residential,on_time
11,10,tuesday,casual_dining,italian,4.5,39,2230.0,8,false,light_rain,heavy,2.4,4796.0,3.0,22.9,false,market,on_time
12,23,friday,casual_dining,pizza_burger,0.5,76,1704.0,6,false,humid,gridlock,4.2,3720.0,3.9,5.0,false,college_area,late
13,20,thursday,cafe,chinese,6.5,42,810.0,14,false,light_rain,heavy,3.6,3674.0,3.8,21.6,false,residential,late
